x,y,z
310252,-76695.5,6.36999e+06
-387839,-76427.6,6.36574e+06
-28327.3,-75993.9,6.37748e+06
331275,-75560.2,6.36894e+06
-366828,-75292.3,6.367e+06
450838,-74157,6.36161e+06
112505,-73455.4,6.37658e+06
471832,-73021.7,6.3601e+06
-226146,-72753.9,6.37357e+06
133550,-72320.2,6.37619e+06
492822,-71886.5,6.35852e+06
-205110,-71618.6,6.3743e+06
154594,-71184.9,6.37573e+06
-184071,-70483.3,6.37495e+06
175636,-70049.6,6.3752e+06
-163030,-69348,6.37554e+06
196676,-68914.3,6.37459e+06
-141987,-68212.7,6.37605e+06
-480252,-67511.1,6.35954e+06
337391,-66375.9,6.36872e+06
-360724,-66108,6.36745e+06
-1159.56,-65674.3,6.37766e+06
358409,-65240.6,6.36759e+06
-339707,-64972.7,6.36862e+06
19889.6,-64539,6.37764e+06
379424,-64105.3,6.36638e+06
-318687,-63837.4,6.36971e+06
40938.5,-63403.7,6.37755e+06
400434,-62970,6.36511e+06
-297663,-62702.1,6.37074e+06
61987.1,-62268.4,6.3774e+06
-276636,-61566.8,6.3717e+06
202796,-59730,6.3745e+06
-135872,-59028.4,6.37628e+06
223833,-58594.7,6.3738e+06
-474156,-58326.8,6.36008e+06
-114827,-57893.1,6.3767e+06
244869,-57459.4,6.37304e+06
-453163,-57191.5,6.36162e+06
-93780.1,-56757.8,6.37706e+06
265902,-56324.1,6.37221e+06
-432165,-56056.3,6.36309e+06
-72732.6,-55622.6,6.37734e+06
-411163,-54921,6.3645e+06
406547,-53785.7,6.3648e+06
68106.9,-53084.1,6.37742e+06
427552,-52650.4,6.36344e+06
-270525,-52382.5,6.37204e+06
89155,-51948.8,6.37716e+06
448552,-51515.1,6.362e+06
-249494,-51247.2,6.37291e+06
110202,-50813.5,6.37684e+06
469548,-50379.8,6.36049e+06
-228459,-50112,6.37371e+06
131248,-49678.3,6.37646e+06
490538,-49244.6,6.35892e+06
-207422,-48976.7,6.37444e+06
272019,-47139.8,6.37202e+06
-66614.5,-46438.2,6.37748e+06
293048,-46004.5,6.3711e+06
-405061,-45736.7,6.36496e+06
-45565.7,-45302.9,6.37768e+06
314074,-44869.2,6.3701e+06
-384052,-44601.4,6.36627e+06
-24516.3,-44167.7,6.3778e+06
335097,-43734,6.36904e+06
-363039,-43466.1,6.36751e+06
-3466.67,-43032.4,6.37785e+06
356117,-42598.7,6.36791e+06
-342021,-42330.8,6.36868e+06
17583.1,-41897.1,6.37784e+06
